category,make,model,model_year,gear,fuel_type,engine_cc,mileage_km,price
car,Suzuki,Alto,2015,Manual,Petrol,800,65000,1995000
pickup,Mahindra,Bolero,2007,Manual,Diesel,2500,45000,2050000
car,Suzuki,Maruti,2006,Manual,Petrol,800,89000,1090000
van,Mazda,Bongo,2001,Manual,Diesel,2000,285000,2390000
van,Nissan,Vanette,2003,Manual,Diesel,2200,285000,2300000
suv,Honda,Vezel Z Orange,2014,Automatic,Hybrid,1500,98950,4975000
car,Suzuki,Alto,2010,Manual,Petrol,800,63900,1675000
car,Nissan,Sunny,2000,Automatic,Petrol,1500,173000,2150000
pickup,Tata,207,2011,Manual,Diesel,3000,90000,1025000
van,Toyota,KR42,2005,Automatic,Diesel,2000,250000,3200000
car,Nissan,Cefiro,2001,Automatic,Petrol,2000,150000,1850000
suv,Honda,Vezel RS,2018,Automatic,Hybrid,1500,38900,8490000
car,Nissan,Tiida,2008,Automatic,Petrol,1500,101210,3200000
car,Suzuki,Maruti,2002,Manual,Petrol,800,74000,1075000
car,Suzuki,Celerio,2016,Automatic,Petrol,1000,51000,2450000
car,Toyota,Vitz,2008,Automatic,Petrol,1000,56000,3600000
car,Nissan,FB15 Ex Saloon,2001,Automatic,Petrol,1500,145000,2375000
car,Suzuki,Alto,2011,Manual,Petrol,800,99850,1720000
van,Nissan,Caravan,2007,Automatic,Diesel,3000,180000,2300000
car,Toyota,Axio WXB,2016,Automatic,Hybrid,1500,65000,6300000
van,Toyota,Noah,2001,Automatic,Diesel,1800,105000,4000000
car,Suzuki,Alto,2007,Manual,Petrol,800,68000,1530000
car,Suzuki,Maruti,2005,Manual,Petrol,800,40832,1075000
suv,Hyundai,Tuscon,2011,Automatic,Diesel,2000,140000,5300000
van,Toyota,KDH High Roof,2017,Automatic,Diesel,3000,71000,9475000
car,Suzuki,Wagon R,2015,Automatic,Hybrid,650,43353,2475000
car,Suzuki,Wagon R FZ,2017,Automatic,Hybrid,650,85000,3325000
pickup,Toyota,Hilux,2010,Manual,Diesel,3000,111000,4650000
car,Suzuki,Wagon R FX,2017,Automatic,Petrol,650,17203,3575000
van,Suzuki,Spacia,2017,Automatic,Hybrid,650,56000,3800000
car,Chery,QQ,2007,Manual,Petrol,800,102000,1050000
car,Toyota,Vitz,2015,Automatic,Petrol,1000,38000,4461000
suv,Kia,Sorento,2012,Automatic,Diesel,2200,129000,7850000
car,Suzuki,Alto,2015,Manual,Petrol,800,79800,2050000
van,Toyota,Noah,2003,Automatic,Diesel,2000,200000,3875000
car,Honda,Fit,2014,Automatic,Hybrid,1500,62000,3525000
car,Honda,Grace,2017,Automatic,Hybrid,1500,35000,5375000
car,Toyota,Tank,2017,Automatic,Petrol,1000,7000,5250000
car,Toyota,Axio,2015,Automatic,Hybrid,1500,85000,4950000
van,Nissan,Vanette,2009,Automatic,Diesel,1700,270000,3100000
van,Nissan,Clipper,2016,Automatic,Petrol,650,8500,2950000
pickup,Mahindra,Bolero,2011,Manual,Diesel,2500,252116,2700000
car,Suzuki,Alto Sport,2010,Manual,Petrol,800,162000,1575000
car,Suzuki,Wagon R FX,2017,Automatic,Petrol,650,48300,3275000
car,Tata,Indigo,2005,Manual,Petrol,1400,193000,1040000
car,Micro,Panda,2016,Manual,Petrol,1000,33000,1695000
van,Nissan,Caravan,2016,Manual,Diesel,2700,121100,6390000
